window_days,s2_platform,landsat_platform,n_pairs,n_years,intercept,slope,tree_offset,rmse,bias,grass_residual_bias,tree_residual_bias,window_slope_range,window_stability_flag
0,S2A,Landsat 7,67,4,0.06529540814001288,0.9748062745281241,0.05144119144800233,0.11397644215154486,2.415149340882337e-16,2.329786195614912e-16,2.514328614592266e-16,0.20129014184907057,False
0,S2A,Landsat 8,180,8,0.06293235009023206,0.8000789901260431,0.08392705417021361,0.09161922262928726,2.516505522483688e-16,2.5338154513622524e-16,2.590520390792032e-16,0.07728874484479986,False
0,S2A,Landsat 9,140,3,-0.0288093291861606,1.034508279912139,0.09774852931548256,0.09647093159972953,-5.329070518200751e-16,-4.300263848714773e-16,-6.473454251275912e-16,0.11684639310956335,False
0,S2B,Landsat 7,79,2,0.007596621668585188,0.8369434764813128,0.08396972315254791,0.110262358290542,1.5177732488546443e-16,9.833403932394243e-17,1.9555064638284008e-16,0.6102204454308561,True
0,S2B,Landsat 8,114,3,-0.04852770893746237,1.0613604607484781,0.04750077767681078,0.11476975189933426,-1.7627225215539767e-16,-3.181611352976722e-16,-4.625929269271486e-17,0.020705538363115172,False
0,S2B,Landsat 9,77,3,0.029054892196080557,0.9324764583000092,0.06455370374926327,0.11010441860361796,2.501606425616424e-16,2.5335858767086904e-16,2.4541772123292936e-16,0.04261756997813282,False
1,S2A,Landsat 7,195,6,0.12724632474117037,0.8387536594073851,0.08708660037825781,0.1146686147554478,1.6852616168669042e-16,1.6767801351297467e-16,1.7276429719932282e-16,0.20129014184907057,False
1,S2A,Landsat 8,649,9,0.06092146983674929,0.8166203498109321,0.07084964471079858,0.11457705820429467,3.222897039127573e-16,2.461106176189452e-16,4.0306681821690036e-16,0.07728874484479986,False
1,S2A,Landsat 9,194,3,-0.07684280800634198,1.1371109855775647,0.06258652766307811,0.09946224145409749,-1.3734717830414308e-16,-1.894385403668653e-16,-7.381153075804612e-17,0.11684639310956335,False
1,S2B,Landsat 7,182,6,0.09668532072132906,0.7547244212463353,0.08911672831991758,0.10905056408903054,3.97118235731306e-16,2.898915675410131e-16,4.842111310370113e-16,0.6102204454308561,True
1,S2B,Landsat 8,291,8,-0.04265448315880025,1.0462985315078177,0.0448824581053159,0.10273467732404665,-2.4264668167065275e-16,-1.1517619813288188e-16,-3.72001812070582e-16,0.020705538363115172,False
1,S2B,Landsat 9,244,4,-0.006876439543502056,0.9746701316034178,0.11477294082303521,0.12450255126086242,-1.001020759907928e-16,-7.4513045306573e-17,-1.2806519977035796e-16,0.04261756997813282,False
3,S2A,Landsat 7,424,7,0.12518932172190508,0.7735161326790535,0.07552191790493473,0.11169292824240883,1.4034894839601035e-16,1.6308060696647036e-16,1.1799347029155733e-16,0.20129014184907057,False
3,S2A,Landsat 8,1008,9,0.10567053590126514,0.7393316049661323,0.09103577283819625,0.1242999682794378,5.991679815437352e-17,2.1872890995746098e-17,1.0307592089566894e-16,0.07728874484479986,False
3,S2A,Landsat 9,289,4,-0.08746770576070806,1.1513546730217024,0.05713876088712126,0.10567889914836354,-2.689121512932905e-16,-3.454226152422463e-16,-1.7771853640454931e-16,0.11684639310956335,False
3,S2B,Landsat 7,314,6,0.33439021901760974,0.22672303105045674,0.17019011529217806,0.1572377652823862,-2.6871640086468756e-16,-2.253213048240986e-16,-3.046582594044915e-16,0.6102204454308561,True
3,S2B,Landsat 8,491,9,-0.025147300786738783,1.040654922385363,0.05142856059967666,0.10418128099664327,-1.7908281782141019e-16,-2.0994878987074944e-16,-1.4162460378231163e-16,0.020705538363115172,False
3,S2B,Landsat 9,460,4,-0.0053662981311090934,0.9750940282781421,0.09039863262082144,0.11520093169670648,-5.07806357350289e-16,-5.883482310119659e-16,-4.255854927729767e-16,0.04261756997813282,False
