endpoint,model,left_out_block,estimate
summer_NDVI,crop_adjusted,C01_07,-0.12047432488794914
summer_NDVI,crop_adjusted,C03_13,-0.08409399356066534
summer_NDVI,crop_adjusted,C05_06,-0.11492031149945225
summer_NDVI,crop_adjusted,C05_09,-0.08917611731309488
summer_NDVI,crop_adjusted,C07_04,-0.11494707190260735
summer_NDVI,crop_adjusted,C07_13,-0.11301971573527396
summer_NDVI,crop_adjusted,C08_02,-0.11127914424702695
summer_NDVI,crop_adjusted,C10_02,-0.10606132040644844
summer_NDVI,crop_adjusted,C10_08,-0.14885361411732867
summer_NDVI,crop_adjusted,C11_07,-0.11424405363934165
summer_NDVI,crop_adjusted,C11_09,-0.12999489640787182
summer_NDVI,crop_adjusted,C12_10,-0.14299657146679115
summer_NDVI,crop_adjusted,C15_06,-0.10729937171220827
summer_NDVI,crop_adjusted,C20_13,-0.10452011217434219
summer_NDVI,crop_adjusted,C21_12,-0.11594476839025762
summer_NDVI,crop_adjusted,C22_10,-0.11358212067368134
summer_NDVI,crop_adjusted,C03_07,-0.10670199981098266
summer_NDVI,crop_adjusted,C03_10,-0.10758086588191387
summer_NDVI,crop_adjusted,C06_14,-0.12469266669761606
summer_NDVI,crop_adjusted,C07_07,-0.09954782328958972
summer_NDVI,crop_adjusted,C09_04,-0.11417252725892163
summer_NDVI,crop_adjusted,C09_07,-0.09167962846741452
summer_NDVI,crop_adjusted,C09_10,-0.11104793169303825
summer_NDVI,crop_adjusted,C10_05,-0.11768698619621679
summer_NDVI,crop_adjusted,C12_06,-0.1158645279167151
peak_NDVI,crop_adjusted,C01_07,-0.045619787850114286
peak_NDVI,crop_adjusted,C03_13,-0.03587657103838185
peak_NDVI,crop_adjusted,C05_06,-0.04579495557819463
peak_NDVI,crop_adjusted,C05_09,-0.018630115633689142
peak_NDVI,crop_adjusted,C07_04,-0.04451311585079086
peak_NDVI,crop_adjusted,C07_13,-0.04212516130047783
peak_NDVI,crop_adjusted,C08_02,-0.0428881816866965
peak_NDVI,crop_adjusted,C10_02,-0.029439962356504427
peak_NDVI,crop_adjusted,C10_08,-0.07347611830371398
peak_NDVI,crop_adjusted,C11_07,-0.04726855958532754
peak_NDVI,crop_adjusted,C11_09,-0.06197602971012854
peak_NDVI,crop_adjusted,C12_10,-0.06939118447009307
peak_NDVI,crop_adjusted,C15_06,-0.03617783829139176
peak_NDVI,crop_adjusted,C20_13,-0.03552341684749684
peak_NDVI,crop_adjusted,C21_12,-0.047657950464057436
peak_NDVI,crop_adjusted,C22_10,-0.0435183236352875
peak_NDVI,crop_adjusted,C03_07,-0.03450841779495971
peak_NDVI,crop_adjusted,C03_10,-0.03684371570544165
peak_NDVI,crop_adjusted,C06_14,-0.05438311025818466
peak_NDVI,crop_adjusted,C07_07,-0.03553032176742614
peak_NDVI,crop_adjusted,C09_04,-0.04389851372265845
peak_NDVI,crop_adjusted,C09_07,-0.021519090491305293
peak_NDVI,crop_adjusted,C09_10,-0.0406098201908036
peak_NDVI,crop_adjusted,C10_05,-0.04779313508980994
peak_NDVI,crop_adjusted,C12_06,-0.044418973530122245
