sensor,year,raw,selected,point_rows,errors,valid_patch_dates
S2,2017,46,27,792,0,218
S2,2018,66,32,888,0,226
S2,2019,53,26,816,0,218
S2,2020,61,29,852,0,247
S2,2021,67,32,948,0,257
S2,2022,93,31,852,0,228
S2,2023,99,29,924,0,248
S2,2024,57,30,864,0,219
S2,2025,88,36,1080,0,313
Landsat,2017,70,63,1183,0,224
Landsat,2018,72,63,1130,0,240
Landsat,2019,72,63,1206,0,257
Landsat,2020,68,62,1132,0,230
Landsat,2021,60,51,1102,0,192
Landsat,2022,77,63,1203,6,300
Landsat,2023,116,85,1777,0,341
Landsat,2024,67,61,1293,0,206
Landsat,2025,95,81,1692,0,410
