patch_id,block_id,date_landsat,date_sentinel2,year,vegetation_type,s2_platform,landsat_platform,sentinel2_item_id,landsat_item_id,time_difference_days,absolute_time_difference_days,s2_ndvi,landsat_ndvi,s2_valid_sample_points,landsat_valid_sample_points,atmospheric_qa_metadata
C01_07_grass_E1,C01_07,2017-07-15,2017-07-15,2017,grass,S2A,Landsat 7,S2A_MSIL2A_20170715T023901_R046_T51RUQ_20210210T091137,LE07_L2SP_118039_20170715_02_T1,0,0,0.6386936750723438,0.6788068261016751,3,2,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C01_07_grass_E1,C01_07,2017-07-31,2017-07-28,2017,grass,S2A,Landsat 7,S2A_MSIL2A_20170728T024901_R089_T51RUQ_20210210T153524,LE07_L2SP_118039_20170731_02_T1,-3,3,0.6100431541781091,0.5579100472709493,3,3,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C01_07_grass_E1,C01_07,2017-08-24,2017-08-27,2017,grass,S2A,Landsat 8,S2A_MSIL2A_20170827T023551_R089_T51RUQ_20210201T120037,LC08_L2SP_118039_20170824_02_T1,3,3,0.5723486474881923,0.6241992634096105,2,3,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C01_07_grass_E1,C01_07,2017-11-04,2017-11-02,2017,grass,S2A,Landsat 7,S2A_MSIL2A_20171102T022841_R046_T51RUQ_20201014T175705,LE07_L2SP_118039_20171104_02_T1,-2,2,0.5435915248350123,0.5320095652916564,3,2,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C01_07_tree_E1,C01_07,2017-03-01,2017-02-28,2017,tree,S2A,Landsat 8,S2A_MSIL2A_20170228T023631_R089_T51RUQ_20210208T175926,LC08_L2SP_118039_20170301_02_T1,-1,1,0.3518284993694829,0.2789249924081384,3,3,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C01_07_tree_E1,C01_07,2017-03-09,2017-03-07,2017,tree,S2A,Landsat 7,S2A_MSIL2A_20170307T022541_R046_T51RUQ_20210208T201747,LE07_L2SP_118039_20170309_02_T1,-2,2,0.4027120782087669,0.3714846402375782,3,2,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C01_07_tree_E1,C01_07,2017-07-15,2017-07-15,2017,tree,S2A,Landsat 7,S2A_MSIL2A_20170715T023901_R046_T51RUQ_20210210T091137,LE07_L2SP_118039_20170715_02_T1,0,0,0.5300606729178158,0.5910087719298245,3,3,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C01_07_tree_E1,C01_07,2017-08-24,2017-08-27,2017,tree,S2A,Landsat 8,S2A_MSIL2A_20170827T023551_R089_T51RUQ_20210201T120037,LC08_L2SP_118039_20170824_02_T1,3,3,0.6610909090909091,0.697409550300093,2,3,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C01_07_tree_E1,C01_07,2017-11-04,2017-11-02,2017,tree,S2A,Landsat 7,S2A_MSIL2A_20171102T022841_R046_T51RUQ_20201014T175705,LE07_L2SP_118039_20171104_02_T1,-2,2,0.6201762382254634,0.621602782598998,3,2,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C03_13_grass_E1,C03_13,2017-03-01,2017-02-28,2017,grass,S2A,Landsat 8,S2A_MSIL2A_20170228T023631_R089_T51RUQ_20210208T175926,LC08_L2SP_118038_20170301_02_T1,-1,1,0.4002897151134716,0.3423484685460154,3,2,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C03_13_grass_E1,C03_13,2017-03-09,2017-03-07,2017,grass,S2A,Landsat 7,S2A_MSIL2A_20170307T022541_R046_T51RUQ_20210208T201747,LE07_L2SP_118039_20170309_02_T1,-2,2,0.3811400052534804,0.3471528779417384,2,3,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C03_13_grass_E1,C03_13,2017-07-15,2017-07-15,2017,grass,S2A,Landsat 7,S2A_MSIL2A_20170715T023901_R046_T51RUQ_20210210T091137,LE07_L2SP_118039_20170715_02_T1,0,0,0.2388774811772758,0.2778232997541817,3,3,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C03_13_grass_E1,C03_13,2017-07-31,2017-07-28,2017,grass,S2A,Landsat 7,S2A_MSIL2A_20170728T024901_R089_T51RUQ_20210210T153524,LE07_L2SP_118039_20170731_02_T1,-3,3,0.2878888153540702,0.2866457104510296,2,3,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C03_13_grass_E1,C03_13,2017-08-24,2017-08-27,2017,grass,S2A,Landsat 8,S2A_MSIL2A_20170827T023551_R089_T51RUQ_20210201T120037,LC08_L2SP_118039_20170824_02_T1,3,3,0.3452838241570635,0.3409711351588436,3,3,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C03_13_grass_E1,C03_13,2017-11-04,2017-11-02,2017,grass,S2A,Landsat 7,S2A_MSIL2A_20171102T022841_R046_T51RUQ_20201014T175705,LE07_L2SP_118039_20171104_02_T1,-2,2,0.2871553463349025,0.3155165712022647,3,3,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C03_13_grass_E1,C03_13,2017-11-12,2017-11-12,2017,grass,S2A,Landsat 8,S2A_MSIL2A_20171112T023901_R046_T51RUQ_20201014T192426,LC08_L2SP_118038_20171112_02_T1,0,0,0.3038740920096852,0.4070680991643765,3,2,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C03_13_tree_E1,C03_13,2017-03-01,2017-02-28,2017,tree,S2A,Landsat 8,S2A_MSIL2A_20170228T023631_R089_T51RUQ_20210208T175926,LC08_L2SP_118039_20170301_02_T1,-1,1,0.3787234042553192,0.3273628191405753,3,2,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C03_13_tree_E1,C03_13,2017-03-09,2017-03-07,2017,tree,S2A,Landsat 7,S2A_MSIL2A_20170307T022541_R046_T51RUQ_20210208T201747,LE07_L2SP_118039_20170309_02_T1,-2,2,0.4350945857795174,0.3602742603372741,3,3,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C03_13_tree_E1,C03_13,2017-07-15,2017-07-15,2017,tree,S2A,Landsat 7,S2A_MSIL2A_20170715T023901_R046_T51RUQ_20210210T091137,LE07_L2SP_118039_20170715_02_T1,0,0,0.7400330266572306,0.6556444494262376,3,3,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C03_13_tree_E1,C03_13,2017-07-31,2017-07-28,2017,tree,S2A,Landsat 7,S2A_MSIL2A_20170728T024901_R089_T51RUQ_20210210T153524,LE07_L2SP_118039_20170731_02_T1,-3,3,0.5693321353698712,0.6158069672103742,3,3,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C03_13_tree_E1,C03_13,2017-08-24,2017-08-27,2017,tree,S2A,Landsat 8,S2A_MSIL2A_20170827T023551_R089_T51RUQ_20210201T120037,LC08_L2SP_118039_20170824_02_T1,3,3,0.6797653958944282,0.7686052724168936,3,3,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C05_06_grass_E1,C05_06,2017-03-09,2017-03-07,2017,grass,S2A,Landsat 7,S2A_MSIL2A_20170307T022541_R046_T51RUQ_20210208T201747,LE07_L2SP_118039_20170309_02_T1,-2,2,0.3457127252867285,0.307691269734179,3,3,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C05_06_grass_E1,C05_06,2017-07-31,2017-07-28,2017,grass,S2A,Landsat 7,S2A_MSIL2A_20170728T024901_R089_T51RUQ_20210210T153524,LE07_L2SP_118039_20170731_02_T1,-3,3,0.2041522491349481,0.2872132212380809,3,2,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C05_06_grass_E1,C05_06,2017-08-24,2017-08-27,2017,grass,S2A,Landsat 8,S2A_MSIL2A_20170827T023551_R089_T51RUQ_20210201T120037,LC08_L2SP_118038_20170824_02_T1,3,3,0.3312472060795708,0.3524732507982744,2,3,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C05_06_grass_E1,C05_06,2017-08-24,2017-08-27,2017,grass,S2A,Landsat 8,S2A_MSIL2A_20170827T023551_R089_T51RUQ_20210201T120037,LC08_L2SP_118039_20170824_02_T1,3,3,0.3312472060795708,0.3620308270729828,2,3,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C05_06_grass_E1,C05_06,2017-11-12,2017-11-12,2017,grass,S2A,Landsat 8,S2A_MSIL2A_20171112T023901_R046_T51RUQ_20201014T192426,LC08_L2SP_118038_20171112_02_T1,0,0,0.3106092884533447,0.5032566786460072,2,3,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C05_06_tree_E1,C05_06,2017-07-15,2017-07-15,2017,tree,S2A,Landsat 7,S2A_MSIL2A_20170715T023901_R046_T51RUQ_20210210T091137,LE07_L2SP_118039_20170715_02_T1,0,0,0.7578994214508233,0.7754634195235988,3,2,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C05_06_tree_E1,C05_06,2017-08-24,2017-08-27,2017,tree,S2A,Landsat 8,S2A_MSIL2A_20170827T023551_R089_T51RUQ_20210201T120037,LC08_L2SP_118039_20170824_02_T1,3,3,0.78955042527339,0.8277922577478894,3,3,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
