sensor_strategy,patch_id,block_id,year,vegetation_type,validation_confidence,validation_status,built_fraction_1000m,crop_context_1000m,n_observations,summer_observations,max_active_season_gap_days,temporal_qc_pass,include_confirmatory,peak_NDVI,summer_NDVI
A_S2_only,C01_07_tree_E1,C01_07,2017,tree,MEDIUM,PERSISTENT TREE,0.0445142707515056,0.3932966745221262,24,6,27.0,True,True,0.654636427883071,0.5505443551504967
A_S2_only,C01_07_tree_E1,C01_07,2018,tree,MEDIUM,PERSISTENT TREE,0.0445142707515056,0.3932966745221262,25,6,27.0,True,True,0.6875523442623855,0.6865803585699091
A_S2_only,C01_07_tree_E1,C01_07,2019,tree,MEDIUM,PERSISTENT TREE,0.0445142707515056,0.3932966745221262,22,5,53.0,False,False,0.6939115413804011,0.6503873358033008
A_S2_only,C01_07_tree_E1,C01_07,2020,tree,MEDIUM,PERSISTENT TREE,0.0445142707515056,0.3932966745221262,26,4,70.0,False,False,0.705190490069534,0.6684942226651919
A_S2_only,C01_07_tree_E1,C01_07,2021,tree,MEDIUM,PERSISTENT TREE,0.0445142707515056,0.3932966745221262,28,5,35.0,True,True,0.7630903306638004,0.7133055623621661
A_S2_only,C01_07_tree_E1,C01_07,2022,tree,MEDIUM,PERSISTENT TREE,0.0445142707515056,0.3932966745221262,28,6,55.0,False,False,0.8115571943630753,0.7716473996772282
A_S2_only,C01_07_tree_E1,C01_07,2023,tree,MEDIUM,PERSISTENT TREE,0.0445142707515056,0.3932966745221262,24,3,53.0,False,False,0.8695399539831461,0.8790110468174643
A_S2_only,C01_07_tree_E1,C01_07,2024,tree,MEDIUM,PERSISTENT TREE,0.0445142707515056,0.3932966745221262,22,4,50.0,False,False,0.8909525106654897,0.8846072184662312
A_S2_only,C01_07_tree_E1,C01_07,2025,tree,MEDIUM,PERSISTENT TREE,0.0445142707515056,0.3932966745221262,29,4,31.0,True,True,0.9086950057786676,0.8482782132528532
A_S2_only,C01_07_grass_E1,C01_07,2017,grass,MEDIUM,PERSISTENT GRASS,0.0308981408745744,0.4619010212097407,17,6,27.0,True,True,0.6417649957022886,0.5454099925339051
A_S2_only,C01_07_grass_E1,C01_07,2018,grass,MEDIUM,PERSISTENT GRASS,0.0308981408745744,0.4619010212097407,28,6,22.0,True,True,0.7206350451592138,0.6984394027250598
A_S2_only,C01_07_grass_E1,C01_07,2019,grass,MEDIUM,PERSISTENT GRASS,0.0308981408745744,0.4619010212097407,19,4,55.0,False,False,0.5938584664635085,0.43428541343656757
A_S2_only,C01_07_grass_E1,C01_07,2020,grass,MEDIUM,PERSISTENT GRASS,0.0308981408745744,0.4619010212097407,18,4,70.0,False,False,0.6735130063334115,0.6288006587304596
